batch,timestamp,logfile,sendrate,sender,avg_delay_s,sent,received,success_ratio_percent,throughput_bytes_per_s,not_for_us,avg_hops
1,20250507173742,code/analyses/logfiles/CSMA_1_1.testlog,1,10,154.7,119,119,100.0,0.37,494,6.0
1,20250507173742,code/analyses/logfiles/CSMA_1_1.testlog,1,11,131.985,119,119,100.0,0.37,1632,5.0
1,20250507173742,code/analyses/logfiles/CSMA_1_1.testlog,1,19,154.072,119,119,100.0,0.42,1118,6.0
1,20250507173742,code/analyses/logfiles/CSMA_1_1.testlog,1,2,105.436,119,119,100.0,0.37,6223,4.0
1,20250507173742,code/analyses/logfiles/CSMA_1_1.testlog,1,20,127.429,119,119,100.0,0.42,997,5.0
1,20250507173742,code/analyses/logfiles/CSMA_1_1.testlog,1,21,100.892,119,119,100.0,0.42,5687,4.0
1,20250507173742,code/analyses/logfiles/CSMA_1_1.testlog,1,22,104.47,119,119,100.0,0.42,3429,4.0
1,20250507173742,code/analyses/logfiles/CSMA_1_1.testlog,1,23,103.12,119,119,100.0,0.42,3043,4.0
1,20250507173742,code/analyses/logfiles/CSMA_1_1.testlog,1,24,108.537,119,119,100.0,0.42,3182,4.0
1,20250507173742,code/analyses/logfiles/CSMA_1_1.testlog,1,25,78.859,119,119,100.0,0.42,6165,3.0
1,20250507173742,code/analyses/logfiles/CSMA_1_1.testlog,1,26,52.567,119,119,100.0,0.42,3580,2.0
1,20250507173742,code/analyses/logfiles/CSMA_1_1.testlog,1,27,130.997,119,119,100.0,0.42,2246,5.0
1,20250507173742,code/analyses/logfiles/CSMA_1_1.testlog,1,28,107.818,119,119,100.0,0.42,3685,4.0
1,20250507173742,code/analyses/logfiles/CSMA_1_1.testlog,1,3,78.556,119,119,100.0,0.37,5951,3.0
1,20250507173742,code/analyses/logfiles/CSMA_1_1.testlog,1,4,131.268,119,119,100.0,0.37,963,5.0
1,20250507173742,code/analyses/logfiles/CSMA_1_1.testlog,1,5,154.587,119,119,100.0,0.37,375,6.0
1,20250507173742,code/analyses/logfiles/CSMA_1_1.testlog,1,6,24.987,119,119,100.0,0.37,692,1.0
1,20250507173742,code/analyses/logfiles/CSMA_1_1.testlog,1,7,103.458,119,119,100.0,0.37,4954,4.0
1,20250507173742,code/analyses/logfiles/CSMA_1_1.testlog,1,8,129.838,119,119,100.0,0.37,2146,5.0
1,20250507173742,code/analyses/logfiles/CSMA_1_1.testlog,1,9,127.362,119,119,100.0,0.37,1548,5.0
2,20250507173742,code/analyses/logfiles/CSMA_1_2.testlog,1,10,157.786,119,119,100.0,0.37,488,6.0
2,20250507173742,code/analyses/logfiles/CSMA_1_2.testlog,1,11,125.765,119,119,100.0,0.37,1738,5.0
2,20250507173742,code/analyses/logfiles/CSMA_1_2.testlog,1,19,159.017,119,119,100.0,0.42,1091,6.0
2,20250507173742,code/analyses/logfiles/CSMA_1_2.testlog,1,2,105.994,119,119,100.0,0.37,5651,4.0
2,20250507173742,code/analyses/logfiles/CSMA_1_2.testlog,1,20,132.398,119,119,100.0,0.42,999,5.0
2,20250507173742,code/analyses/logfiles/CSMA_1_2.testlog,1,21,107.402,119,119,100.0,0.42,6410,4.0
2,20250507173742,code/analyses/logfiles/CSMA_1_2.testlog,1,22,103.528,119,119,100.0,0.42,4287,4.0
2,20250507173742,code/analyses/logfiles/CSMA_1_2.testlog,1,23,102.292,119,119,100.0,0.42,3036,4.0
2,20250507173742,code/analyses/logfiles/CSMA_1_2.testlog,1,24,105.085,119,119,100.0,0.42,2997,4.0
2,20250507173742,code/analyses/logfiles/CSMA_1_2.testlog,1,25,133.593,119,118,99.16,0.42,6652,5.0
2,20250507173742,code/analyses/logfiles/CSMA_1_2.testlog,1,26,51.839,119,119,100.0,0.42,4321,2.0
2,20250507173742,code/analyses/logfiles/CSMA_1_2.testlog,1,27,128.789,119,119,100.0,0.42,2200,5.0
2,20250507173742,code/analyses/logfiles/CSMA_1_2.testlog,1,28,103.34,119,119,100.0,0.42,3885,4.0
2,20250507173742,code/analyses/logfiles/CSMA_1_2.testlog,1,3,134.999,119,119,100.0,0.37,6439,5.0
2,20250507173742,code/analyses/logfiles/CSMA_1_2.testlog,1,4,134.219,119,119,100.0,0.37,1236,5.0
2,20250507173742,code/analyses/logfiles/CSMA_1_2.testlog,1,5,158.015,119,119,100.0,0.37,360,6.0
2,20250507173742,code/analyses/logfiles/CSMA_1_2.testlog,1,6,25.217,119,119,100.0,0.37,647,1.0
2,20250507173742,code/analyses/logfiles/CSMA_1_2.testlog,1,7,100.991,119,119,100.0,0.37,5153,4.0
2,20250507173742,code/analyses/logfiles/CSMA_1_2.testlog,1,8,131.758,119,119,100.0,0.37,2114,5.0
2,20250507173742,code/analyses/logfiles/CSMA_1_2.testlog,1,9,123.813,119,119,100.0,0.37,1391,5.0
1,20250507173742,code/analyses/logfiles/CSMA_10_1.testlog,10,10,174.486,300,299,99.67,3.77,739,6.0
1,20250507173742,code/analyses/logfiles/CSMA_10_1.testlog,10,11,150.779,300,299,99.67,3.77,2272,5.0
1,20250507173742,code/analyses/logfiles/CSMA_10_1.testlog,10,19,174.413,300,299,99.67,4.26,1560,6.0
1,20250507173742,code/analyses/logfiles/CSMA_10_1.testlog,10,2,120.351,300,299,99.67,3.77,13503,4.0
1,20250507173742,code/analyses/logfiles/CSMA_10_1.testlog,10,20,146.567,300,299,99.67,4.28,1482,5.0
1,20250507173742,code/analyses/logfiles/CSMA_10_1.testlog,10,21,119.207,300,299,99.67,4.27,12984,4.0
1,20250507173742,code/analyses/logfiles/CSMA_10_1.testlog,10,22,118.242,300,299,99.67,4.26,7127,4.0
1,20250507173742,code/analyses/logfiles/CSMA_10_1.testlog,10,23,115.673,300,299,99.67,4.28,6870,4.0
1,20250507173742,code/analyses/logfiles/CSMA_10_1.testlog,10,24,117.008,300,299,99.67,4.27,6877,4.0
1,20250507173742,code/analyses/logfiles/CSMA_10_1.testlog,10,25,86.58,300,299,99.67,4.28,13406,3.0
1,20250507173742,code/analyses/logfiles/CSMA_10_1.testlog,10,26,61.925,300,299,99.67,4.28,6924,2.0
1,20250507173742,code/analyses/logfiles/CSMA_10_1.testlog,10,27,148.468,300,299,99.67,4.27,4288,5.0
1,20250507173742,code/analyses/logfiles/CSMA_10_1.testlog,10,28,119.79,300,299,99.67,4.28,7339,4.0
1,20250507173742,code/analyses/logfiles/CSMA_10_1.testlog,10,3,89.379,300,299,99.67,3.77,12973,3.0
1,20250507173742,code/analyses/logfiles/CSMA_10_1.testlog,10,4,145.047,300,300,100.0,3.79,1470,5.0
1,20250507173742,code/analyses/logfiles/CSMA_10_1.testlog,10,5,176.737,300,299,99.67,3.77,682,6.0
1,20250507173742,code/analyses/logfiles/CSMA_10_1.testlog,10,6,28.316,300,299,99.67,3.78,833,1.0
1,20250507173742,code/analyses/logfiles/CSMA_10_1.testlog,10,7,119.233,300,299,99.67,3.77,10398,4.0
1,20250507173742,code/analyses/logfiles/CSMA_10_1.testlog,10,8,145.582,300,299,99.67,3.78,3605,5.0
1,20250507173742,code/analyses/logfiles/CSMA_10_1.testlog,10,9,145.064,300,299,99.67,3.77,2192,5.0
2,20250507173742,code/analyses/logfiles/CSMA_10_2.testlog,10,10,178.592,300,299,99.67,3.78,731,6.0
2,20250507173742,code/analyses/logfiles/CSMA_10_2.testlog,10,11,145.313,300,299,99.67,3.77,2638,5.0
2,20250507173742,code/analyses/logfiles/CSMA_10_2.testlog,10,19,174.893,300,299,99.67,4.28,1596,6.0
2,20250507173742,code/analyses/logfiles/CSMA_10_2.testlog,10,2,120.147,300,298,99.33,3.76,15059,4.0
2,20250507173742,code/analyses/logfiles/CSMA_10_2.testlog,10,20,153.499,300,298,99.33,4.27,2158,5.0
2,20250507173742,code/analyses/logfiles/CSMA_10_2.testlog,10,21,121.844,300,299,99.67,4.27,12332,4.0
2,20250507173742,code/analyses/logfiles/CSMA_10_2.testlog,10,22,120.894,300,298,99.33,4.26,7392,4.0
2,20250507173742,code/analyses/logfiles/CSMA_10_2.testlog,10,23,125.885,300,298,99.33,4.27,6564,4.0
2,20250507173742,code/analyses/logfiles/CSMA_10_2.testlog,10,24,120.884,300,298,99.33,4.26,7220,4.0
2,20250507173742,code/analyses/logfiles/CSMA_10_2.testlog,10,25,150.613,300,299,99.67,4.28,14373,5.0
2,20250507173742,code/analyses/logfiles/CSMA_10_2.testlog,10,26,59.877,300,299,99.67,4.28,8447,2.0
2,20250507173742,code/analyses/logfiles/CSMA_10_2.testlog,10,27,148.554,300,298,99.33,4.26,4330,5.0
2,20250507173742,code/analyses/logfiles/CSMA_10_2.testlog,10,28,118.621,300,298,99.33,4.26,9226,4.0
2,20250507173742,code/analyses/logfiles/CSMA_10_2.testlog,10,3,148.726,300,298,99.33,3.76,13890,5.0
2,20250507173742,code/analyses/logfiles/CSMA_10_2.testlog,10,4,148.372,300,298,99.33,3.76,1464,5.0
2,20250507173742,code/analyses/logfiles/CSMA_10_2.testlog,10,5,182.349,300,298,99.33,3.77,720,6.0
2,20250507173742,code/analyses/logfiles/CSMA_10_2.testlog,10,6,27.49,300,299,99.67,3.78,809,1.0
2,20250507173742,code/analyses/logfiles/CSMA_10_2.testlog,10,7,118.37,300,299,99.67,3.76,11328,4.0
2,20250507173742,code/analyses/logfiles/CSMA_10_2.testlog,10,8,156.27,300,298,99.33,3.76,3633,5.0
2,20250507173742,code/analyses/logfiles/CSMA_10_2.testlog,10,9,148.122,300,299,99.67,3.77,1903,5.0
1,20250507173742,code/analyses/logfiles/CSMA_20_1.testlog,20,10,211.409,300,293,97.67,7.39,1062,6.0
1,20250507173742,code/analyses/logfiles/CSMA_20_1.testlog,20,11,175.907,300,293,97.67,7.39,1886,5.0
1,20250507173742,code/analyses/logfiles/CSMA_20_1.testlog,20,19,202.761,300,294,98.0,8.41,1766,6.0
1,20250507173742,code/analyses/logfiles/CSMA_20_1.testlog,20,2,141.477,300,294,98.0,7.44,12546,4.0
1,20250507173742,code/analyses/logfiles/CSMA_20_1.testlog,20,20,181.882,300,294,98.0,8.43,1445,5.0
1,20250507173742,code/analyses/logfiles/CSMA_20_1.testlog,20,21,147.791,300,294,98.0,8.42,13070,4.0
1,20250507173742,code/analyses/logfiles/CSMA_20_1.testlog,20,22,146.649,300,294,98.0,8.42,8330,4.0
1,20250507173742,code/analyses/logfiles/CSMA_20_1.testlog,20,23,142.854,300,294,98.0,8.41,8167,4.0
1,20250507173742,code/analyses/logfiles/CSMA_20_1.testlog,20,24,140.975,300,294,98.0,8.42,7452,4.0
1,20250507173742,code/analyses/logfiles/CSMA_20_1.testlog,20,25,109.979,300,294,98.0,8.4,13456,3.0
1,20250507173742,code/analyses/logfiles/CSMA_20_1.testlog,20,26,70.019,300,293,97.67,8.37,6878,2.0
1,20250507173742,code/analyses/logfiles/CSMA_20_1.testlog,20,27,168.99,300,294,98.0,8.43,4452,5.0
1,20250507173742,code/analyses/logfiles/CSMA_20_1.testlog,20,28,145.368,300,294,98.0,8.43,7467,4.0
1,20250507173742,code/analyses/logfiles/CSMA_20_1.testlog,20,3,108.329,300,294,98.0,7.45,12979,3.0
1,20250507173742,code/analyses/logfiles/CSMA_20_1.testlog,20,4,183.661,300,294,98.0,7.43,1418,5.0
1,20250507173742,code/analyses/logfiles/CSMA_20_1.testlog,20,5,216.602,300,294,98.0,7.43,734,6.0
1,20250507173742,code/analyses/logfiles/CSMA_20_1.testlog,20,6,35.987,300,294,98.0,7.42,856,1.0
1,20250507173742,code/analyses/logfiles/CSMA_20_1.testlog,20,7,143.125,300,294,98.0,7.42,8555,4.0
1,20250507173742,code/analyses/logfiles/CSMA_20_1.testlog,20,8,181.365,300,294,98.0,7.44,4024,5.0
1,20250507173742,code/analyses/logfiles/CSMA_20_1.testlog,20,9,173.315,300,294,98.0,7.42,3637,5.0
2,20250507173742,code/analyses/logfiles/CSMA_20_2.testlog,20,10,209.611,300,296,98.67,7.47,1109,6.0
2,20250507173742,code/analyses/logfiles/CSMA_20_2.testlog,20,11,171.954,300,296,98.67,7.49,1892,5.0
2,20250507173742,code/analyses/logfiles/CSMA_20_2.testlog,20,19,203.339,300,296,98.67,8.49,1708,6.0
2,20250507173742,code/analyses/logfiles/CSMA_20_2.testlog,20,2,146.667,300,296,98.67,7.48,13124,4.0
2,20250507173742,code/analyses/logfiles/CSMA_20_2.testlog,20,20,180.865,300,296,98.67,8.45,1455,5.0
2,20250507173742,code/analyses/logfiles/CSMA_20_2.testlog,20,21,147.728,300,296,98.67,8.44,14081,4.0
2,20250507173742,code/analyses/logfiles/CSMA_20_2.testlog,20,22,149.74,300,296,98.67,8.47,9125,4.0
2,20250507173742,code/analyses/logfiles/CSMA_20_2.testlog,20,23,148.507,300,296,98.67,8.46,8776,4.0
2,20250507173742,code/analyses/logfiles/CSMA_20_2.testlog,20,24,138.881,300,296,98.67,8.46,8387,4.0
2,20250507173742,code/analyses/logfiles/CSMA_20_2.testlog,20,25,187.568,300,295,98.33,8.44,13882,5.0
2,20250507173742,code/analyses/logfiles/CSMA_20_2.testlog,20,26,72.357,300,296,98.67,8.44,7926,2.0
2,20250507173742,code/analyses/logfiles/CSMA_20_2.testlog,20,27,183.019,300,296,98.67,8.47,4384,5.0
2,20250507173742,code/analyses/logfiles/CSMA_20_2.testlog,20,28,140.387,300,296,98.67,8.48,8069,4.0
2,20250507173742,code/analyses/logfiles/CSMA_20_2.testlog,20,3,179.983,300,296,98.67,7.48,13372,5.0
2,20250507173742,code/analyses/logfiles/CSMA_20_2.testlog,20,4,189.468,300,296,98.67,7.49,2110,5.0
2,20250507173742,code/analyses/logfiles/CSMA_20_2.testlog,20,5,213.597,300,296,98.67,7.46,753,6.0
2,20250507173742,code/analyses/logfiles/CSMA_20_2.testlog,20,6,33.092,300,296,98.67,7.46,806,1.0
2,20250507173742,code/analyses/logfiles/CSMA_20_2.testlog,20,7,149.445,300,296,98.67,7.48,9695,4.0
2,20250507173742,code/analyses/logfiles/CSMA_20_2.testlog,20,8,175.587,300,296,98.67,7.47,3894,5.0
2,20250507173742,code/analyses/logfiles/CSMA_20_2.testlog,20,9,183.675,300,295,98.33,7.44,3525,5.0
