batch,timestamp,logfile,sendrate,sender,avg_delay_s,sent,received,success_ratio_percent,throughput_bytes_per_s,not_for_us,avg_hops
1,20250509133704,code/analyses/logfiles/TSCH_1_1.testlog,1,10,654.731,100,71,71.0,0.32,0,6.14
1,20250509133704,code/analyses/logfiles/TSCH_1_1.testlog,1,11,576.771,100,78,78.0,0.36,0,5.62
1,20250509133704,code/analyses/logfiles/TSCH_1_1.testlog,1,19,630.607,100,68,68.0,0.36,0,6.09
1,20250509133704,code/analyses/logfiles/TSCH_1_1.testlog,1,2,436.588,100,73,73.0,0.34,0,3.88
1,20250509133704,code/analyses/logfiles/TSCH_1_1.testlog,1,20,581.895,100,70,70.0,0.37,0,4.94
1,20250509133704,code/analyses/logfiles/TSCH_1_1.testlog,1,21,451.768,100,76,76.0,0.4,0,4.11
1,20250509133704,code/analyses/logfiles/TSCH_1_1.testlog,1,22,476.919,100,59,59.0,0.42,0,4.42
1,20250509133704,code/analyses/logfiles/TSCH_1_1.testlog,1,23,484.305,100,77,77.0,0.41,0,4.61
1,20250509133704,code/analyses/logfiles/TSCH_1_1.testlog,1,25,355.39,100,37,37.0,0.2,0,2.86
1,20250509133704,code/analyses/logfiles/TSCH_1_1.testlog,1,26,182.135,100,94,94.0,0.41,0,2.0
1,20250509133704,code/analyses/logfiles/TSCH_1_1.testlog,1,27,556.533,100,78,78.0,0.41,0,5.1
1,20250509133704,code/analyses/logfiles/TSCH_1_1.testlog,1,28,526.676,100,76,76.0,0.4,0,5.09
1,20250509133704,code/analyses/logfiles/TSCH_1_1.testlog,1,3,554.416,100,20,20.0,0.08,0,4.5
1,20250509133704,code/analyses/logfiles/TSCH_1_1.testlog,1,6,90.558,100,99,99.0,0.37,0,1.0
1,20250509133704,code/analyses/logfiles/TSCH_1_1.testlog,1,7,422.028,100,78,78.0,0.36,0,4.12
1,20250509133704,code/analyses/logfiles/TSCH_1_1.testlog,1,8,648.073,100,40,40.0,0.35,0,6.0
