batch,timestamp,logfile,sendrate,sender,avg_delay_s,sent,received,success_ratio_percent,throughput_bytes_per_s,not_for_us,avg_hops
1,20250509122442,code/analyses/logfiles/TSCH_1_1.testlog,1,10,689.22,69,46,66.67,0.38,0,6.0
1,20250509122442,code/analyses/logfiles/TSCH_1_1.testlog,1,11,553.191,69,29,42.03,0.37,0,5.0
1,20250509122442,code/analyses/logfiles/TSCH_1_1.testlog,1,19,723.546,69,47,68.12,0.42,0,6.0
1,20250509122442,code/analyses/logfiles/TSCH_1_1.testlog,1,2,446.335,69,45,65.22,0.36,0,4.0
1,20250509122442,code/analyses/logfiles/TSCH_1_1.testlog,1,20,495.477,69,42,60.87,0.39,0,5.0
1,20250509122442,code/analyses/logfiles/TSCH_1_1.testlog,1,21,452.631,69,45,65.22,0.41,0,4.0
1,20250509122442,code/analyses/logfiles/TSCH_1_1.testlog,1,22,410.589,69,47,68.12,0.42,0,4.0
1,20250509122442,code/analyses/logfiles/TSCH_1_1.testlog,1,23,517.759,69,47,68.12,0.42,0,4.0
1,20250509122442,code/analyses/logfiles/TSCH_1_1.testlog,1,24,654.973,69,15,21.74,0.43,0,5.0
1,20250509122442,code/analyses/logfiles/TSCH_1_1.testlog,1,25,613.837,69,39,56.52,0.35,0,5.0
1,20250509122442,code/analyses/logfiles/TSCH_1_1.testlog,1,26,203.751,69,46,66.67,0.42,0,2.0
1,20250509122442,code/analyses/logfiles/TSCH_1_1.testlog,1,27,547.446,69,46,66.67,0.43,0,5.0
1,20250509122442,code/analyses/logfiles/TSCH_1_1.testlog,1,28,485.555,69,46,66.67,0.42,0,4.0
1,20250509122442,code/analyses/logfiles/TSCH_1_1.testlog,1,3,340.224,69,45,65.22,0.37,0,3.0
1,20250509122442,code/analyses/logfiles/TSCH_1_1.testlog,1,4,667.177,69,46,66.67,0.37,0,5.0
1,20250509122442,code/analyses/logfiles/TSCH_1_1.testlog,1,5,594.791,69,47,68.12,0.37,0,6.0
1,20250509122442,code/analyses/logfiles/TSCH_1_1.testlog,1,6,98.971,69,69,100.0,0.37,0,1.0
1,20250509122442,code/analyses/logfiles/TSCH_1_1.testlog,1,7,429.612,69,46,66.67,0.37,0,4.0
1,20250509122442,code/analyses/logfiles/TSCH_1_1.testlog,1,8,557.238,69,47,68.12,0.38,0,5.0
1,20250509122442,code/analyses/logfiles/TSCH_1_1.testlog,1,9,650.514,69,47,68.12,0.37,0,5.0
1,20250509122442,code/analyses/logfiles/TSCH_1_1.testlog,1,10,673.475,69,13,18.84,0.22,0,6.46
