batch,timestamp,logfile,sendrate,sender,avg_delay_s,sent,received,success_ratio_percent,throughput_bytes_per_s,not_for_us,avg_hops
1,20250509104204,code/analyses/logfiles/TSCH_1_1.testlog,1,10,1064.988,100,100,100.0,1.83,0,7.0
1,20250509104204,code/analyses/logfiles/TSCH_1_1.testlog,1,11,940.695,100,99,99.0,1.81,0,6.83
1,20250509104204,code/analyses/logfiles/TSCH_1_1.testlog,1,19,1098.114,100,99,99.0,2.06,0,7.0
1,20250509104204,code/analyses/logfiles/TSCH_1_1.testlog,1,2,757.365,100,98,98.0,1.79,0,4.56
1,20250509104204,code/analyses/logfiles/TSCH_1_1.testlog,1,20,1028.467,100,99,99.0,2.07,0,6.35
1,20250509104204,code/analyses/logfiles/TSCH_1_1.testlog,1,21,966.003,100,99,99.0,2.07,0,5.84
1,20250509104204,code/analyses/logfiles/TSCH_1_1.testlog,1,22,937.165,100,99,99.0,2.07,0,5.2
1,20250509104204,code/analyses/logfiles/TSCH_1_1.testlog,1,23,1017.195,100,99,99.0,2.06,0,5.84
1,20250509104204,code/analyses/logfiles/TSCH_1_1.testlog,1,24,983.724,100,100,100.0,2.08,0,6.0
1,20250509104204,code/analyses/logfiles/TSCH_1_1.testlog,1,25,960.776,100,99,99.0,2.09,0,5.16
1,20250509104204,code/analyses/logfiles/TSCH_1_1.testlog,1,26,264.055,100,100,100.0,2.08,0,2.0
1,20250509104204,code/analyses/logfiles/TSCH_1_1.testlog,1,27,1135.377,100,99,99.0,2.07,0,6.53
1,20250509104204,code/analyses/logfiles/TSCH_1_1.testlog,1,28,1050.174,100,100,100.0,2.09,0,5.32
1,20250509104204,code/analyses/logfiles/TSCH_1_1.testlog,1,3,1070.545,100,97,97.0,1.8,0,6.85
1,20250509104204,code/analyses/logfiles/TSCH_1_1.testlog,1,4,1040.362,100,99,99.0,1.83,0,5.56
1,20250509104204,code/analyses/logfiles/TSCH_1_1.testlog,1,5,1104.57,100,98,98.0,1.81,0,6.56
1,20250509104204,code/analyses/logfiles/TSCH_1_1.testlog,1,6,131.56,100,100,100.0,1.83,0,1.0
1,20250509104204,code/analyses/logfiles/TSCH_1_1.testlog,1,7,804.835,100,100,100.0,1.84,0,5.0
1,20250509104204,code/analyses/logfiles/TSCH_1_1.testlog,1,8,990.428,100,100,100.0,1.83,0,6.0
1,20250509104204,code/analyses/logfiles/TSCH_1_1.testlog,1,9,897.398,100,100,100.0,1.84,0,6.0
1,20250509104204,code/analyses/logfiles/TSCH_5_1.testlog,5,10,995.564,100,97,97.0,1.85,0,6.46
1,20250509104204,code/analyses/logfiles/TSCH_5_1.testlog,5,11,891.245,100,97,97.0,1.82,0,5.0
1,20250509104204,code/analyses/logfiles/TSCH_5_1.testlog,5,19,945.882,100,99,99.0,2.11,0,6.06
1,20250509104204,code/analyses/logfiles/TSCH_5_1.testlog,5,2,626.944,100,97,97.0,1.85,0,3.06
1,20250509104204,code/analyses/logfiles/TSCH_5_1.testlog,5,20,993.436,100,41,41.0,2.11,0,5.0
1,20250509104204,code/analyses/logfiles/TSCH_5_1.testlog,5,21,724.822,100,96,96.0,2.02,0,4.0
1,20250509104204,code/analyses/logfiles/TSCH_5_1.testlog,5,22,2014.222,100,49,49.0,1.03,0,5.71
1,20250509104204,code/analyses/logfiles/TSCH_5_1.testlog,5,23,719.735,100,97,97.0,2.08,0,4.0
1,20250509104204,code/analyses/logfiles/TSCH_5_1.testlog,5,24,769.464,100,97,97.0,2.08,0,4.0
1,20250509104204,code/analyses/logfiles/TSCH_5_1.testlog,5,25,742.499,100,96,96.0,2.04,0,4.35
1,20250509104204,code/analyses/logfiles/TSCH_5_1.testlog,5,26,208.912,100,99,99.0,2.1,0,2.0
1,20250509104204,code/analyses/logfiles/TSCH_5_1.testlog,5,27,892.729,100,96,96.0,2.04,0,5.95
1,20250509104204,code/analyses/logfiles/TSCH_5_1.testlog,5,28,758.92,100,98,98.0,2.06,0,5.01
1,20250509104204,code/analyses/logfiles/TSCH_5_1.testlog,5,3,547.764,100,98,98.0,1.82,0,3.14
1,20250509104204,code/analyses/logfiles/TSCH_5_1.testlog,5,4,1875.842,100,49,49.0,0.9,0,4.18
1,20250509104204,code/analyses/logfiles/TSCH_5_1.testlog,5,5,1456.919,100,47,47.0,0.87,0,5.17
1,20250509104204,code/analyses/logfiles/TSCH_5_1.testlog,5,6,114.469,100,100,100.0,1.84,0,1.0
1,20250509104204,code/analyses/logfiles/TSCH_5_1.testlog,5,7,813.257,100,96,96.0,1.8,0,4.95
1,20250509104204,code/analyses/logfiles/TSCH_5_1.testlog,5,8,733.245,100,97,97.0,1.82,0,5.01
1,20250509104204,code/analyses/logfiles/TSCH_5_1.testlog,5,9,858.567,100,96,96.0,1.81,0,5.47
