batch,timestamp,logfile,sendrate,sender,avg_delay_s,sent,received,success_ratio_percent,throughput_bytes_per_s,not_for_us,avg_hops
1,20250507175419,code/analyses/logfiles/CSMA_1_1.testlog,1,10,164.491,119,119,100.0,0.37,484,6.0
1,20250507175419,code/analyses/logfiles/CSMA_1_1.testlog,1,11,130.866,119,119,100.0,0.37,1393,5.0
1,20250507175419,code/analyses/logfiles/CSMA_1_1.testlog,1,19,157.045,119,119,100.0,0.42,1235,6.0
1,20250507175419,code/analyses/logfiles/CSMA_1_1.testlog,1,2,100.636,119,119,100.0,0.37,5668,4.0
1,20250507175419,code/analyses/logfiles/CSMA_1_1.testlog,1,20,131.119,119,119,100.0,0.42,975,5.0
1,20250507175419,code/analyses/logfiles/CSMA_1_1.testlog,1,21,101.811,119,119,100.0,0.42,6417,4.0
1,20250507175419,code/analyses/logfiles/CSMA_1_1.testlog,1,22,101.305,119,119,100.0,0.42,4412,4.0
1,20250507175419,code/analyses/logfiles/CSMA_1_1.testlog,1,23,100.885,119,119,100.0,0.42,3389,4.0
1,20250507175419,code/analyses/logfiles/CSMA_1_1.testlog,1,24,105.44,119,119,100.0,0.42,3252,4.0
1,20250507175419,code/analyses/logfiles/CSMA_1_1.testlog,1,25,129.977,119,119,100.0,0.42,6654,5.0
1,20250507175419,code/analyses/logfiles/CSMA_1_1.testlog,1,26,56.431,119,119,100.0,0.42,4329,2.0
1,20250507175419,code/analyses/logfiles/CSMA_1_1.testlog,1,27,131.311,119,119,100.0,0.42,2593,5.0
1,20250507175419,code/analyses/logfiles/CSMA_1_1.testlog,1,28,104.188,119,119,100.0,0.42,4031,4.0
1,20250507175419,code/analyses/logfiles/CSMA_1_1.testlog,1,3,130.776,119,119,100.0,0.37,6435,5.0
1,20250507175419,code/analyses/logfiles/CSMA_1_1.testlog,1,4,128.747,119,119,100.0,0.37,1235,5.0
1,20250507175419,code/analyses/logfiles/CSMA_1_1.testlog,1,5,152.177,119,119,100.0,0.37,372,6.0
1,20250507175419,code/analyses/logfiles/CSMA_1_1.testlog,1,6,25.651,119,119,100.0,0.37,660,1.0
1,20250507175419,code/analyses/logfiles/CSMA_1_1.testlog,1,7,103.949,119,119,100.0,0.37,4493,4.0
1,20250507175419,code/analyses/logfiles/CSMA_1_1.testlog,1,8,128.683,119,119,100.0,0.37,2398,5.0
1,20250507175419,code/analyses/logfiles/CSMA_1_1.testlog,1,9,132.299,119,119,100.0,0.37,1574,5.0
2,20250507175419,code/analyses/logfiles/CSMA_1_2.testlog,1,10,155.839,119,119,100.0,0.37,491,6.0
2,20250507175419,code/analyses/logfiles/CSMA_1_2.testlog,1,11,136.357,119,119,100.0,0.37,1749,5.0
2,20250507175419,code/analyses/logfiles/CSMA_1_2.testlog,1,19,153.695,119,119,100.0,0.42,1105,6.0
2,20250507175419,code/analyses/logfiles/CSMA_1_2.testlog,1,2,102.007,119,119,100.0,0.37,5665,4.0
2,20250507175419,code/analyses/logfiles/CSMA_1_2.testlog,1,20,130.488,119,119,100.0,0.42,999,5.0
2,20250507175419,code/analyses/logfiles/CSMA_1_2.testlog,1,21,103.213,119,119,100.0,0.42,6429,4.0
2,20250507175419,code/analyses/logfiles/CSMA_1_2.testlog,1,22,105.258,119,119,100.0,0.42,4283,4.0
2,20250507175419,code/analyses/logfiles/CSMA_1_2.testlog,1,23,100.041,119,119,100.0,0.42,3033,4.0
2,20250507175419,code/analyses/logfiles/CSMA_1_2.testlog,1,24,107.344,119,119,100.0,0.42,2995,4.0
2,20250507175419,code/analyses/logfiles/CSMA_1_2.testlog,1,25,129.589,119,119,100.0,0.42,6655,5.0
2,20250507175419,code/analyses/logfiles/CSMA_1_2.testlog,1,26,52.623,119,119,100.0,0.42,4330,2.0
2,20250507175419,code/analyses/logfiles/CSMA_1_2.testlog,1,27,129.417,119,119,100.0,0.42,2230,5.0
2,20250507175419,code/analyses/logfiles/CSMA_1_2.testlog,1,28,103.528,119,119,100.0,0.42,3895,4.0
2,20250507175419,code/analyses/logfiles/CSMA_1_2.testlog,1,3,135.071,119,119,100.0,0.37,6440,5.0
2,20250507175419,code/analyses/logfiles/CSMA_1_2.testlog,1,4,132.444,119,118,99.16,0.37,1236,5.0
2,20250507175419,code/analyses/logfiles/CSMA_1_2.testlog,1,5,160.449,119,119,100.0,0.37,367,6.0
2,20250507175419,code/analyses/logfiles/CSMA_1_2.testlog,1,6,27.545,119,119,100.0,0.37,651,1.0
2,20250507175419,code/analyses/logfiles/CSMA_1_2.testlog,1,7,104.45,119,119,100.0,0.37,5156,4.0
2,20250507175419,code/analyses/logfiles/CSMA_1_2.testlog,1,8,127.153,119,119,100.0,0.37,2122,5.0
2,20250507175419,code/analyses/logfiles/CSMA_1_2.testlog,1,9,130.611,119,119,100.0,0.37,1392,5.0
3,20250507175419,code/analyses/logfiles/CSMA_1_3.testlog,1,10,157.257,119,119,100.0,0.37,484,6.0
3,20250507175419,code/analyses/logfiles/CSMA_1_3.testlog,1,11,129.714,119,119,100.0,0.37,1379,5.0
3,20250507175419,code/analyses/logfiles/CSMA_1_3.testlog,1,19,151.054,119,119,100.0,0.42,1086,6.0
3,20250507175419,code/analyses/logfiles/CSMA_1_3.testlog,1,2,100.451,119,119,100.0,0.37,6197,4.0
3,20250507175419,code/analyses/logfiles/CSMA_1_3.testlog,1,20,128.502,119,119,100.0,0.42,980,5.0
3,20250507175419,code/analyses/logfiles/CSMA_1_3.testlog,1,21,107.208,119,119,100.0,0.42,6137,4.0
3,20250507175419,code/analyses/logfiles/CSMA_1_3.testlog,1,22,106.79,119,119,100.0,0.42,3901,4.0
3,20250507175419,code/analyses/logfiles/CSMA_1_3.testlog,1,23,100.338,119,119,100.0,0.42,3265,4.0
3,20250507175419,code/analyses/logfiles/CSMA_1_3.testlog,1,24,104.384,119,119,100.0,0.42,3403,4.0
3,20250507175419,code/analyses/logfiles/CSMA_1_3.testlog,1,25,127.553,119,119,100.0,0.42,6373,5.0
3,20250507175419,code/analyses/logfiles/CSMA_1_3.testlog,1,26,52.963,118,118,100.0,0.42,4042,2.0
3,20250507175419,code/analyses/logfiles/CSMA_1_3.testlog,1,27,127.705,119,119,100.0,0.42,2446,5.0
3,20250507175419,code/analyses/logfiles/CSMA_1_3.testlog,1,28,104.109,119,119,100.0,0.42,3872,4.0
3,20250507175419,code/analyses/logfiles/CSMA_1_3.testlog,1,3,129.924,119,119,100.0,0.37,6149,5.0
3,20250507175419,code/analyses/logfiles/CSMA_1_3.testlog,1,4,120.356,119,119,100.0,0.37,1234,5.0
3,20250507175419,code/analyses/logfiles/CSMA_1_3.testlog,1,5,155.057,119,119,100.0,0.37,366,6.0
3,20250507175419,code/analyses/logfiles/CSMA_1_3.testlog,1,6,23.805,119,119,100.0,0.37,655,1.0
3,20250507175419,code/analyses/logfiles/CSMA_1_3.testlog,1,7,109.731,119,119,100.0,0.37,5035,4.0
3,20250507175419,code/analyses/logfiles/CSMA_1_3.testlog,1,8,127.945,119,119,100.0,0.37,2099,5.0
3,20250507175419,code/analyses/logfiles/CSMA_1_3.testlog,1,9,132.961,119,119,100.0,0.37,1386,5.0
4,20250507175419,code/analyses/logfiles/CSMA_1_4.testlog,1,10,159.896,119,119,100.0,0.37,494,6.0
4,20250507175419,code/analyses/logfiles/CSMA_1_4.testlog,1,11,131.141,119,119,100.0,0.37,1616,5.0
4,20250507175419,code/analyses/logfiles/CSMA_1_4.testlog,1,19,156.716,119,119,100.0,0.42,1097,6.0
4,20250507175419,code/analyses/logfiles/CSMA_1_4.testlog,1,2,103.508,119,119,100.0,0.37,6564,4.0
4,20250507175419,code/analyses/logfiles/CSMA_1_4.testlog,1,20,128.133,119,119,100.0,0.42,1276,5.0
4,20250507175419,code/analyses/logfiles/CSMA_1_4.testlog,1,21,101.559,119,119,100.0,0.42,5898,4.0
4,20250507175419,code/analyses/logfiles/CSMA_1_4.testlog,1,22,104.319,119,119,100.0,0.42,3635,4.0
4,20250507175419,code/analyses/logfiles/CSMA_1_4.testlog,1,23,101.564,119,119,100.0,0.42,3411,4.0
4,20250507175419,code/analyses/logfiles/CSMA_1_4.testlog,1,24,107.761,119,119,100.0,0.42,3416,4.0
4,20250507175419,code/analyses/logfiles/CSMA_1_4.testlog,1,25,132.89,119,119,100.0,0.42,6274,5.0
