batch,timestamp,logfile,sendrate,sender,avg_delay_s,sent,received,success_ratio_percent,throughput_bytes_per_s,not_for_us,avg_hops
1,20250509130636,code/analyses/logfiles/TSCH_1_1.testlog,1,10,891.0,100,1,1.0,23.57,0,7.0
1,20250509130636,code/analyses/logfiles/TSCH_1_1.testlog,1,11,784.0,100,2,2.0,1.56,0,6.0
1,20250509130636,code/analyses/logfiles/TSCH_1_1.testlog,1,19,777.096,100,1,1.0,30.88,0,7.0
1,20250509130636,code/analyses/logfiles/TSCH_1_1.testlog,1,2,680.0,100,2,2.0,8.89,0,6.0
1,20250509130636,code/analyses/logfiles/TSCH_1_1.testlog,1,20,790.096,100,1,1.0,30.38,0,6.0
1,20250509130636,code/analyses/logfiles/TSCH_1_1.testlog,1,21,606.096,100,1,1.0,39.6,0,5.0
1,20250509130636,code/analyses/logfiles/TSCH_1_1.testlog,1,22,533.096,100,1,1.0,45.02,0,5.0
1,20250509130636,code/analyses/logfiles/TSCH_1_1.testlog,1,23,544.096,100,1,1.0,44.11,0,5.0
1,20250509130636,code/analyses/logfiles/TSCH_1_1.testlog,1,24,525.096,100,1,1.0,45.71,0,5.0
1,20250509130636,code/analyses/logfiles/TSCH_1_1.testlog,1,25,235.096,100,1,1.0,102.09,0,2.0
1,20250509130636,code/analyses/logfiles/TSCH_1_1.testlog,1,26,326.096,100,1,1.0,73.6,0,3.0
1,20250509130636,code/analyses/logfiles/TSCH_1_1.testlog,1,27,746.096,100,1,1.0,32.17,0,6.0
1,20250509130636,code/analyses/logfiles/TSCH_1_1.testlog,1,28,594.096,100,1,1.0,40.4,0,5.0
1,20250509130636,code/analyses/logfiles/TSCH_1_1.testlog,1,3,455.0,100,1,1.0,46.15,0,4.0
1,20250509130636,code/analyses/logfiles/TSCH_1_1.testlog,1,4,657.0,100,1,1.0,31.96,0,6.0
1,20250509130636,code/analyses/logfiles/TSCH_1_1.testlog,1,5,729.0,100,1,1.0,28.81,0,7.0
1,20250509130636,code/analyses/logfiles/TSCH_1_1.testlog,1,6,5045.736,100,4,4.0,0.02,0,1.0
1,20250509130636,code/analyses/logfiles/TSCH_1_1.testlog,1,7,617.0,100,1,1.0,34.04,0,5.0
1,20250509130636,code/analyses/logfiles/TSCH_1_1.testlog,1,8,751.0,100,1,1.0,27.96,0,6.0
1,20250509130636,code/analyses/logfiles/TSCH_1_1.testlog,1,9,658.0,100,1,1.0,31.91,0,6.0
