batch,timestamp,logfile,sendrate,sender,avg_delay_s,sent,received,success_ratio_percent,throughput_bytes_per_s,not_for_us,avg_hops
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,10,758.223,94,40,42.55,0.38,0,6.47
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,11,552.573,94,40,42.55,0.38,0,5.5
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,19,696.041,94,38,40.43,0.42,0,6.47
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,2,437.798,94,40,42.55,0.37,0,4.05
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,20,550.868,94,32,34.04,0.35,0,4.72
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,21,350.851,94,30,31.91,0.42,0,3.7
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,22,540.795,94,40,42.55,0.42,0,4.5
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,23,450.745,94,40,42.55,0.42,0,4.47
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,24,439.22,94,40,42.55,0.42,0,4.5
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,25,499.504,94,39,41.49,0.42,0,4.64
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,26,214.807,94,31,32.98,0.41,0,2.0
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,27,615.785,94,39,41.49,0.41,0,5.49
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,28,435.986,94,38,40.43,0.42,0,4.47
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,3,470.957,94,31,32.98,0.37,0,3.94
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,4,635.555,94,30,31.91,0.28,0,5.33
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,5,718.988,94,29,30.85,0.27,0,6.34
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,6,92.123,94,78,82.98,0.37,0,1.0
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,7,511.224,94,40,42.55,0.37,0,4.47
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,8,573.023,94,40,42.55,0.38,0,5.47
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,9,579.348,94,40,42.55,0.37,0,5.47
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,10,705.08,94,34,36.17,0.37,0,6.0
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,11,520.966,94,35,37.23,0.38,0,5.0
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,19,667.472,94,34,36.17,0.43,0,6.0
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,2,457.307,94,35,37.23,0.37,0,4.0
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,20,447.089,94,34,36.17,0.43,0,4.18
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,21,428.529,94,34,36.17,0.42,0,3.18
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,22,537.805,94,35,37.23,0.43,0,5.0
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,23,512.265,94,34,36.17,0.42,0,4.0
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,24,459.853,94,34,36.17,0.42,0,4.0
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,25,357.547,94,35,37.23,0.43,0,3.0
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,26,217.319,94,35,37.23,0.43,0,2.0
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,27,582.941,94,34,36.17,0.42,0,5.0
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,28,587.382,94,34,36.17,0.44,0,5.0
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,3,468.963,94,34,36.17,0.37,0,3.0
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,4,539.234,94,33,35.11,0.36,0,6.0
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,5,563.258,94,34,36.17,0.37,0,7.0
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,6,101.163,94,35,37.23,0.37,0,1.0
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,7,582.651,94,35,37.23,0.38,0,5.0
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,8,536.023,94,34,36.17,0.37,0,5.0
1,20250509115217,code/analyses/logfiles/TSCH_1_1.testlog,1,9,607.993,94,35,37.23,0.37,0,5.0
